Job ID,Title,Company,Location,Experience,Skills,Job URL,PageRank Score
4181758605,Data Scientist,KPMG India,"Bengaluru, Karnataka, India",4+ years,"machine learning, tensorflow, data science, hadoop, feature engineering, decision trees, deep learning",https://www.linkedin.com/jobs/view/4181758605,0.48658568918926204
4153692153,Data Analyst,Deloitte,"Hyderabad, Telangana, India",Not specified,"big data, machine learning",https://www.linkedin.com/jobs/view/4153692153,0.7476473289541464
4171828646,Data Scientist,KPMG India,"Bengaluru, Karnataka, India",4+ years,"data science, machine learning, tensorflow, hadoop, feature engineering, decision trees, deep learning",https://www.linkedin.com/jobs/view/4171828646,0.48658568918926204
4176122835,Python Developer,KPMG India,"Bengaluru, Karnataka, India",4-8 years,"data preprocessing, machine learning",https://www.linkedin.com/jobs/view/4176122835,0.4874491858126947
4153686679,Data Analyst,Deloitte,"Hyderabad, Telangana, India",Not specified,"big data, machine learning",https://www.linkedin.com/jobs/view/4153686679,0.7476473289541464
4168428048,Python Developer,KPMG India,"Bengaluru, Karnataka, India",4-8 years,"data preprocessing, machine learning",https://www.linkedin.com/jobs/view/4168428048,0.4874491858126946
4169917026,Data Analyst,KPMG India,"Delhi, India",3+ years,Not specified,https://www.linkedin.com/jobs/view/4169917026,0.5144231381774128
4174811436,Data Scientist I,Swiggy,"Bengaluru, Karnataka, India",0-3 years,"machine learning, deep learning, big data, spark",https://www.linkedin.com/jobs/view/4174811436,0.45567714789191627
4149474186,Associate Data Analyst,Circle K,"Gurugram, Haryana, India",1+ years,spark,https://www.linkedin.com/jobs/view/4149474186,0.0
4159494100,ML Engineer,Infosys,"Bengaluru, Karnataka, India",5 - 7 years,"data science, big data, clustering, classification, dimensionality reduction, machine learning",https://www.linkedin.com/jobs/view/4159494100,0.3355566558538579
4159736318,"Data Scientist, gTech Ads Solutions",Google,"Bengaluru, Karnataka, India",3 years,"machine learning, computer vision, natural language processing, nlp, data science",https://www.linkedin.com/jobs/view/4159736318,0.7557471197107196
4149471308,Associate Data Scientist,Circle K,"Gurugram, Haryana, India",2 years,"machine learning, big data, data science, hadoop, spark",https://www.linkedin.com/jobs/view/4149471308,0.6763163776230872
4149474193,Logistics Data Analyst,Circle K,"Gurugram, Haryana, India",2+ years,Not specified,https://www.linkedin.com/jobs/view/4149474193,0.5144231381774128
4159323436,Python Developer,Infosys,"Bengaluru, Karnataka, India",3,machine learning,https://www.linkedin.com/jobs/view/4159323436,0.6915228477380848
4170835704,Data Scientist,PayPal,"Bengaluru, Karnataka, India",25 years,"data science, regression",https://www.linkedin.com/jobs/view/4170835704,0.6414161117193612
4169977365,"Data Scientist I, FinTech",Uber,"Hyderabad, Telangana, India",1+ years,data science,https://www.linkedin.com/jobs/view/4169977365,0.39331939005646016
4174099804,ML Research Engineer,Whatfix,"Bengaluru, Karnataka, India",4+ years,"machine learning, computer vision, deep learning, natural language processing, nlp, bert, gpt, transformers, pytorch",https://www.linkedin.com/jobs/view/4174099804,0.572119865693275
4136800741,Data Scientist,Myntra,"Bengaluru, Karnataka, India",Not specified,"data science, machine learning, graph neural networks, transformers, nlp, computer vision, deep learning, classification",https://www.linkedin.com/jobs/view/4136800741,0.5104821000138252
4176129589,Data Scientist (3-5),PhonePe,"Bengaluru, Karnataka, India",3 years,"machine learning, computer vision, natural language processing, data science, statistical modeling, nlp, big data, deep learning, tensorflow, pytorch",https://www.linkedin.com/jobs/view/4176129589,0.9999999999999998
4179359946,"Data Analyst II (MS Excel, Power BI, SQL)",Walmart Global Tech India,Greater Chennai Area,Not specified,Not specified,https://www.linkedin.com/jobs/view/4179359946,0.5144231381774128
4157282369,Machine Learning Engineer,airtel,"Gurugram, Haryana, India",Not specified,"data science, machine learning, regression, random forest, neural networks, rnn, cnn, tensorflow, spark",https://www.linkedin.com/jobs/view/4157282369,0.06425062860918805
4181748943,Data Scientist,Meesho,"Bengaluru, Karnataka, India",Not specified,"recommender systems, computer vision, deep learning, machine learning, pytorch, tensorflow, big data, spark",https://www.linkedin.com/jobs/view/4181748943,0.544059486228306
4052099797,Researcher - Machine Learning and AI,Microsoft,"Bengaluru, Karnataka, India",Not specified,"artificial intelligence, machine learning, natural language processing",https://www.linkedin.com/jobs/view/4052099797,0.2991055662974955
4181035807,Data Scientist,Purplle.com,"Mumbai, Maharashtra, India",3 Years,"machine learning, scikit-learn, tensorflow, pytorch, big data, hadoop, spark, data science",https://www.linkedin.com/jobs/view/4181035807,0.9443100835848293
4181190709,Data Science- Associate Director-Bangalore,KPMG India,"Bengaluru, Karnataka, India",12+years,"feature engineering, classification, regression, clustering, random forest, tensorflow, pytorch",https://www.linkedin.com/jobs/view/4181190709,0.12219293485831413
4169067713,Machine Learning Engineer,Wipro,"Bengaluru, Karnataka, India",8 years,"nlp, computer vision, data science, tensorflow, pytorch, scikit-learn, gpt, hadoop, spark, artificial intelligence, machine learning, unsupervised learning, reinforcement learning, deep learning, statistical modeling, big data, natural language processing, opencv, cnn, data preprocessing, feature engineering",https://www.linkedin.com/jobs/view/4169067713,0.4493143425057534
4179400102,Data Scientist (Product Analytics),Uber,"Bangalore Urban, Karnataka, India",2+ years,Not specified,https://www.linkedin.com/jobs/view/4179400102,0.5144231381774128
4169072235,Data Scientist,Fusemachines,"Pune, Maharashtra, India",4+ years,"statistical modeling, machine learning, data science, pytorch",https://www.linkedin.com/jobs/view/4169072235,0.4387333331629455
4179147521,AI/ML Model Validation Analyst,Deutsche Bank,"Mumbai, Maharashtra, India",2 years,"machine learning, artificial intelligence, data science",https://www.linkedin.com/jobs/view/4179147521,0.7291759197115787
4087222364,Machine Learning Engineer,ExxonMobil,"Bengaluru, Karnataka, India",3 years,"data science, machine learning, regression, classification, time series analysis, computer vision, natural language processing",https://www.linkedin.com/jobs/view/4087222364,0.376020086894797
4156458356,Data Scientist,BNP Paribas CIB,"Mumbai, Maharashtra, India",3,"feature engineering, data science, machine learning, deep learning, scikit-learn, pytorch, transformers, artificial intelligence",https://www.linkedin.com/jobs/view/4156458356,0.6542743869557692
4153800506,Risk Analytics,Capgemini Invent,"Bengaluru, Karnataka, India",10+ years,Not specified,https://www.linkedin.com/jobs/view/4153800506,0.5144231381774128
4172693779,Decision Scientist,PhonePe,"Bengaluru, Karnataka, India",3+ years,regression,https://www.linkedin.com/jobs/view/4172693779,0.16975402580964627
4168248138,Data Analyst,KPIT,"Bengaluru, Karnataka, India",6 Years,machine learning,https://www.linkedin.com/jobs/view/4168248138,0.6915228477380848
4165755904,"Data Scientist, Product, Google Play",Google,"Bengaluru, Karnataka, India",3 years,Not specified,https://www.linkedin.com/jobs/view/4165755904,0.5144231381774128
4177186114,Data Scientist_ Python R,UST,"Bengaluru, Karnataka, India",6+ years,"data science, machine learning, statistical modeling, scikit-learn",https://www.linkedin.com/jobs/view/4177186114,0.35265615046637083
4103521544,Data Scientist - Machine Learning,Indian Institute of Science (IISc),"Bengaluru, Karnataka, India",Not specified,"data science, computer vision",https://www.linkedin.com/jobs/view/4103521544,0.3562052633340707
4181506036,Junior Data Scientist,AB InBev GCC India,"Bengaluru, Karnataka, India",1 - 3+ years,"data science, regression, classification, clustering",https://www.linkedin.com/jobs/view/4181506036,0.5526538017595247
4172623790,AI/ML Ops Engineer,PepsiCo,"Hyderabad, Telangana, India",Not specified,"tensorflow, pytorch, gpt, reinforcement learning, nlp",https://www.linkedin.com/jobs/view/4172623790,0.07625931207021934
4176152310,AI/ML Engineer,Wissen Technology,"Bengaluru, Karnataka, India",4 years,"machine learning, nlp, computer vision, deep learning, tensorflow, pytorch, opencv",https://www.linkedin.com/jobs/view/4176152310,0.679953365654934
